,code,market,date,name,close,totalchange,futureHigh,nextday open,nextday low,nextday high,nextday close,forecast,ratio
221,S 000677,主板,20220706,恒天海龙,3.06,0,0,0,0,0,0,不涨,0.0025481353513896465
222,S 000678,主板,20220706,襄阳轴承,5.04,0,0,0,0,0,0,不涨,0.00139233423396945
223,S 000679,主板,20220706,大连友谊,4.44,0,0,0,0,0,0,不涨,0.0013417534064501524
224,S 000680,主板,20220706,山推股份,5.33,0,0,0,0,0,0,不涨,0.05507802963256836
225,S 000681,主板,20220706,视觉中国,13.02,0,0,0,0,0,0,不涨,0.006270487327128649
226,S 000682,主板,20220706,东方电子,6.88,0,0,0,0,0,0,不涨,0.0009156338637694716
227,S 000683,主板,20220706,远兴能源,10.14,0,0,0,0,0,0,不涨,0.0012790905311703682
228,S 000685,主板,20220706,中山公用,7.71,0,0,0,0,0,0,不涨,0.00018871412612497807
229,S 000686,主板,20220706,东北证券,6.73,0,0,0,0,0,0,不涨,0.0005762919900007546
230,S 000688,主板,20220706,国城矿业,16.0,0,0,0,0,0,0,不涨,0.0017305128276348114
231,S 000690,主板,20220706,宝新能源,4.71,0,0,0,0,0,0,不涨,0.0005942527204751968
232,S 000691,主板,20220706,亚太实业,4.2,0,0,0,0,0,0,不涨,0.004528793040663004
233,S 000692,主板,20220706,惠天热电,3.62,0,0,0,0,0,0,不涨,0.0013981142546981573
234,S 000695,主板,20220706,滨海能源,8.86,0,0,0,0,0,0,不涨,0.00815074983984232
235,S 000697,主板,20220706,炼石航空,8.58,0,0,0,0,0,0,不涨,0.05137799307703972
236,S 000698,主板,20220706,沈阳化工,4.24,0,0,0,0,0,0,不涨,0.0023502102121710777
237,S 000700,主板,20220706,模塑科技,5.21,0,0,0,0,0,0,不涨,0.015221208333969116
238,S 000701,主板,20220706,厦门信达,5.91,0,0,0,0,0,0,不涨,0.005046958103775978
239,S 000702,主板,20220706,正虹科技,5.97,0,0,0,0,0,0,不涨,0.050632644444704056
240,S 000703,主板,20220706,恒逸石化,9.85,0,0,0,0,0,0,不涨,0.0016941048670560122
241,S 000705,主板,20220706,浙江震元,8.11,0,0,0,0,0,0,不涨,0.002528395503759384
242,S 000707,主板,20220706,双环科技,16.27,0,0,0,0,0,0,不涨,0.0026567880995571613
243,S 000708,主板,20220706,中信特钢,19.73,0,0,0,0,0,0,不涨,1.2342233276285697e-05
244,S 000709,主板,20220706,河钢股份,2.63,0,0,0,0,0,0,不涨,0.0969771221280098
245,S 000710,主板,20220706,贝瑞基因,14.26,0,0,0,0,0,0,不涨,0.003170195734128356
246,S 000711,主板,20220706,京蓝科技,2.65,0,0,0,0,0,0,不涨,0.0007564148399978876
247,S 000712,主板,20220706,锦龙股份,14.66,0,0,0,0,0,0,不涨,0.0022701446432620287
248,S 000713,主板,20220706,丰乐种业,8.99,0,0,0,0,0,0,不涨,0.002514418214559555
249,S 000715,主板,20220706,中兴商业,5.17,0,0,0,0,0,0,不涨,0.000992821529507637
250,S 000716,主板,20220706,黑芝麻,3.33,0,0,0,0,0,0,不涨,0.004528313409537077
251,S 000717,主板,20220706,韶钢松山,3.47,0,0,0,0,0,0,不涨,0.0013380502350628376
252,S 000718,主板,20220706,苏宁环球,3.44,0,0,0,0,0,0,不涨,0.0009020224097184837
253,S 000719,主板,20220706,中原传媒,7.2,0,0,0,0,0,0,不涨,0.000254459009738639
254,S 000720,主板,20220706,新能泰山,5.77,0,0,0,0,0,0,不涨,0.0027575541753321886
255,S 000721,主板,20220706,西安饮食,4.42,0,0,0,0,0,0,不涨,0.01426753494888544
256,S 000722,主板,20220706,湖南发展,13.78,0,0,0,0,0,0,不涨,0.0002630777598824352
257,S 000723,主板,20220706,美锦能源,12.11,0,0,0,0,0,0,不涨,0.0037671364843845367
258,S 000725,主板,20220706,京东方A,3.86,0,0,0,0,0,0,不涨,0.0005632695974782109
259,S 000726,主板,20220706,鲁泰A,7.63,0,0,0,0,0,0,不涨,0.0019426274811848998
260,S 000727,主板,20220706,冠捷科技,2.23,0,0,0,0,0,0,不涨,0.0008578594424761832
261,S 000728,主板,20220706,国元证券,6.03,0,0,0,0,0,0,不涨,0.0005344844539649785
262,S 000729,主板,20220706,燕京啤酒,9.25,0,0,0,0,0,0,不涨,0.0019223492126911879
263,S 000731,主板,20220706,四川美丰,9.38,0,0,0,0,0,0,不涨,2.6403255105833523e-05
264,S 000732,主板,20220706,ST泰禾,1.22,0,0,0,0,0,0,不涨,0.004662811756134033
265,S 000733,主板,20220706,振华科技,136.28,0,0,0,0,0,0,不涨,2.4366761408600723e-06
266,S 000735,主板,20220706,罗牛山,6.71,0,0,0,0,0,0,不涨,0.018171994015574455
267,S 000736,主板,20220706,中交地产,14.5,0,0,0,0,0,0,不涨,0.0002158168499590829
268,S 000737,主板,20220706,北方铜业,6.13,0,0,0,0,0,0,不涨,0.000290753465378657
269,S 000738,主板,20220706,航发控制,28.4,0,0,0,0,0,0,不涨,1.5195007563306717e-06
270,S 000739,主板,20220706,普洛药业,21.39,0,0,0,0,0,0,不涨,0.0005488301976583898
271,S 000750,主板,20220706,国海证券,3.53,0,0,0,0,0,0,不涨,0.0007819742895662785
272,S 000751,主板,20220706,锌业股份,3.31,0,0,0,0,0,0,不涨,0.0025698926765471697
273,S 000752,主板,20220706,*ST西发,4.65,0,0,0,0,0,0,不涨,0.0031198542565107346
274,S 000753,主板,20220706,漳州发展,3.72,0,0,0,0,0,0,不涨,0.000768647063523531
275,S 000755,主板,20220706,山西路桥,4.48,0,0,0,0,0,0,不涨,0.09346620738506317
276,S 000756,主板,20220706,新华制药,27.03,0,0,0,0,0,0,不涨,0.006132140289992094
